Last Name,First Name,Email Address,Lab 22 (More About Strings),Quiz 18 (slicing and unpacking),Lab 1,Quiz 1 (Syllabus),Lab 2 (Variables and Data Types),Quiz 2 (Variables and Data Types),Lab 3,"Quiz 3 (print, input and arithmetic operators)",Lab 4,Quiz 4,Assignment 1 (Chapter 2 problems 13 and 14),Lab 5 (Exploring Conditions and Boolean Logic),Quiz 5 (Boolean Logic and Conditions),Lab 6 (Conditions - CodingBat problem),"Quiz 6 (conditions on conditionals, nested conditions)",Assignment 2 (Roulette Wheel Colors),Lab 7 (while loops),Quiz 7 (Iterations #1),Lab 8 ,Quiz 8 (for loops and range),Lab 9 (interactive play),"Quiz 9 (Chapter 2, 3 and 4 Recaps)",Assignment 3 (for and while loops),Lab 10 (Functions - An Introduction),Quiz 10 (Functions - Intro),"Quiz 11 (Positional, Keyword, Optional Arguments)",Assignment 4 (Functions) (Auto-Tester),"Lab 11: Functions - Positional, Keyword, Optional Arguments",Quiz 12 (Functions and Variable Scope),Lab 12 (Functions and Variable Scope),Python 101 - MIdTerm Test ,Lab 14 (File I/O),Week 14 Quiz (File I/O),Lab 15 (Errors and Exceptions),Quiz 15 (Errors and Exceptions),Assignment 5 (File I/O),Lab 16 (Lists: An introduction),Quiz 16 (Lists: An introduction),Assignment 6 (Coding Bat - List-1 problems),Lab 17 - Exploring List Traversals,"Quiz 17 (List Traversals, Map Filter Reduce)",Lab 18 (Unpacking and Slicing),Lab 19 (List Comprehension,Quiz 19 (List comprehension),"Lab 20 (Mixed, Nested, 2D Lists)","Quiz 20 (Mixed, Nested, 2D Lists)",Lab 21 (Tuples),Quiz 21 (Tuples),Assignment (Attend a Seminar),Quiz 22 (More About Strings),Lab 23 (Sets),Quiz 23 (Sets),Lab 24 (Dictionaries),Quiz 24 (Dictionaries),Assignment (Sets and Dictionary),Lab 25 (Binary and Decimal Conversions),Quiz 25 (Binary and Decimal Conversions),Lab 26 (Binary Operations),Quiz 26 (Comprehensive Quiz),Assignment 7: Magic Square
Date,,,,,7-Sep-25,7-Sep-25,14-Sep-25,14-Sep-25,21-Sep-25,21-Sep-25,28-Sep-25,28-Sep-25,4-Oct-25,5-Oct-25,5-Oct-25,12-Oct-25,12-Oct-25,18-Oct-25,19-Oct-25,19-Oct-25,26-Oct-25,26-Oct-25,2-Nov-25,2-Nov-25,8-Nov-25,9-Nov-25,9-Nov-25,16-Nov-25,21-Nov-25,21-Nov-25,7-Dec-25,13-Dec-25,10-Jan-26,11-Jan-26,11-Jan-26,18-Jan-26,18-Jan-26,24-Jan-26,25-Jan-26,25-Jan-26,31-Jan-26,1-Feb-26,1-Feb-26,8-Feb-26,15-Feb-26,15-Feb-26,22-Feb-26,22-Feb-26,1-Mar-26,1-Mar-26,7-Mar-26,22-Mar-26,29-Mar-26,29-Mar-26,5-Apr-26,5-Apr-26,11-Apr-26,12-Apr-26,12-Apr-26,19-Apr-26,19-Apr-26,6-Mar-27
Points,,,10,10,10,7,10,10,10,10,10,8,30,10,12,10,10,25,10,10,10,10,10,20,25,10,10,12,25,12,12,10,80,10,10,10,11,25,10,10,25,10,10,10,10,10,10,10,10,10,25,10,10,10,10,10,25,10,10,10,10,25
ln1,fn1,fn1.ln1@learnandhelp.com,,,10,7,10,10,10,10,,8,,,12,0,10,,,10,,10,10,20,,,10,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln2,fn2,fn2.ln2@learnandhelp.com,,10,10,6,10,10,10,10,10,8,0,10,12,0,10,25,0,10,10,10,5,20,,,9,,,,,,48,8,,,11,,,9,,10,10,,,6,,,,9,,9,,8,,10,,,7,,,
ln3,fn3,fn3.ln3@learnandhelp.com,9.5,,10,7,10,10,10,10,10,0,,10,12,10,,,,,0,,10,20,,10,10,,,,11,,58,,10,,10,,,9,,,7,,,8,,8,10,10,,10,,10,,10,,,,,10,
ln4,fn4,fn4.ln4@learnandhelp.com,9.5,,10,7,10,10,10,10,10,8,30,10,12,10,10,25,9,10,10,10,10,20,,,7,,,,9,,74,,10,,11,,,9,,0,9,,,10,,7,10,9,,9,,10,,9,,,10,,8.5,
,fn5,fn5.ln5@learnandhelp.com,10,,,7,,10,,10,,8,,10,12,,10,25,,10,,10,10,20,,,9,,,,12,,60,,10,,11,,,,,,9,,,8,,9,,,25,9,,8,,,,,10,,9.5,
ln6,fn6,fn6.ln6@learnandhelp.com,9.5,,10,7,10,10,10,10,10,8,30,10,12,10,10,25,10,10,10,10,10,20,,,10,,,,12,,66,,10,,11,,,10,,10,10,,,10,,10,10,10,,10,,10,,10,,,10,,10,25
ln7,fn7,fn7.ln7@learnandhelp.com,10,,10,7,10,10,9,10,10,8,30,10,12,10,10,25,10,10,10,10,10,20,25,,10,,,,12,,64,,10,,11,,,10,,10,10,,,10,,10,8,10,25,10,,10,,10,,,10,,10,
ln8,fn8,fn8.ln8@learnandhelp.com,,,,,10,10,10,10,8,8,,10,12,10,10,,0,10,,,,20,,,10,,,,12,,68,,10,,11,,,10,,0,,,,10,,,,,,,,,,,,,10,,,
ln9,fn9,fn9.ln9@learnandhelp.com,,,10,6,10,10,6,10,,8,,,12,10,10,,,10,,10,,,,,10,,,,12,,,,10,,11,,,,,,10,,,,,10,,10,,,,10,,,,,,,,
